wavelength_nm,MR,MT,MR_corrected_percent,MT_corrected_percent,MR_raw_percent,MT_raw_percent,glass_R_percent,glass_T_percent,valid_iad_input,ratio_tag,thickness_um,sample_id,correction_method,source_R_file,source_T_file,glass_R_file,glass_T_file
350.0,0.332,-0.031,33.2,-3.1,36.5,0.1,3.3,3.2,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
350.5,0.335,-0.031,33.5,-3.1,36.8,0.1,3.3,3.2,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
351.0,0.339,-0.031,33.9,-3.1,37.2,0.1,3.3,3.2,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
351.5,0.344,-0.03,34.4,-3,37.7,0.1,3.3,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
352.0,0.348,-0.03,34.8,-3,38.1,0.1,3.3,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
352.5,0.352,-0.03,35.2,-3,38.5,0.1,3.3,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
353.0,0.357,-0.03,35.7,-3,38.9,0.1,3.2,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
353.5,0.361,-0.03,36.1,-3,39.3,0.1,3.2,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
354.0,0.365,-0.03,36.5,-3,39.7,0.1,3.2,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
354.5,0.368,-0.03,36.8,-3,40,0.1,3.2,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
355.0,0.372,-0.03,37.2,-3,40.4,0.1,3.2,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
355.5,0.376,-0.03,37.6,-3,40.8,0.1,3.2,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
356.0,0.38,-0.03,38,-3,41.1,0.1,3.1,3.1,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
356.5,0.383,-0.029,38.3,-2.9,41.4,0.1,3.1,3,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
357.0,0.386,-0.029,38.6,-2.9,41.7,0.1,3.1,3,0,X-X,30,X-X-30,sample_minus_glass_same_wavelength,inputs/511/X-X-30-R-D.txt,inputs/511/X-X-30-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
